No,지출일자,과제/사업단명,비목,보조비목,보조세목,지출액,지출처/적요,지급상태,비고
1,2026-05-28,사업단 본과제 (4-3 광주형 미래라이프),여비,국내여비,국내여비(3),41660,26년 5월 국내여비 이승언(05.28),지급완료,E나라도움 정산
2,2026-05-28,사업단 본과제 (4-3 광주형 미래라이프),여비,국내여비,국내여비(3),41660,26년 5월 국내여비 정찬규(05.28),지급완료,E나라도움 정산
3,2026-05-29,사업단 본과제 (4-3 광주형 미래라이프),운영비,일반수용비,일반수용비(3),500000,커뮤니티 아카데미 실무협의회 회의비,지급완료,카드결제
4,2026-05-30,사업단 본과제 (4-3 광주형 미래라이프),운영비,일반수용비,일반수용비(3),1272000,원활한 사업 운영을 위한 소모품 구매,지급완료,세금계산서
5,2026-05-19,평생교육원_사회복지사 양성 과정,교육·연구프로그램 개발·운영비,운영비,일반수용비,1052000,사회복지사 양성과정 사무용품 구입,지급완료,계좌이체
6,2026-05-20,평생교육원_사회복지사 양성 과정,교육·연구프로그램 개발·운영비,운영비,일반수용비,210000,사회복지사 양성과정 운영 회의비,지급완료,카드결제
7,2026-06-01,농업생명과학대학_동물자원학부,인건비,보수,보수(1),0,"5월, 6월 연구원 인건비 신청 예정",결재대기,서류검토중
8,2026-06-05,AI융합대학_지식재산융합전공,인건비,보수,보수(1),2626000,지식재산 강사료 및 인건비 지급,지급완료,원천징수
9,2026-06-10,데이터사이언스대학원_데이터사이언스학과,운영비,일반수용비,일반수용비(3),4500000,데이터사이언스 실습 SW 라이선스 구매,지급완료,계좌이체
10,2026-06-15,경영대학_경영학부,운영비,일반수용비,일반수용비(3),12000000,지역 상생 경영 컨설팅 워크숍 운영비,지급완료,계좌이체
